_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,TIMESTAMP,createdAt,updatedAt,__v,SLBMH_TOT_VAL,VWAP,mTIMESTAMP,CA
63ff3e7d19ec0c00075222b8,WIPRO,EQ,N,391.75,387.3,388.1,390.95,391.6,387.05,2271306,885735291.55,616.0,372.4,51483,INE075A01022,2023-03-01,2023-02-28T18:30:00.000Z,2023-03-01T12:01:01.651Z,2023-03-01T12:01:01.651Z,0,,389.97,01-Mar-2023,
63fdecdfe911310006832f3c,WIPRO,EQ,N,393.2,385.7,391.85,387.05,387.3,390.35,5030801,1953291563.15,616.0,372.4,84329,INE075A01022,2023-02-28,2023-02-27T18:30:00.000Z,2023-02-28T12:00:31.806Z,2023-02-28T12:00:31.806Z,0,,388.27,28-Feb-2023,
63fc9b5fdc45a5000731bd13,WIPRO,EQ,N,393.3,385.45,392.75,390.35,390.9,393.3,2777355,1078741985.75,616.0,372.4,60867,INE075A01022,2023-02-27,2023-02-26T18:30:00.000Z,2023-02-27T12:00:31.856Z,2023-02-27T12:00:31.856Z,0,,388.41,27-Feb-2023,
642835d330507300074cb75b,WIPRO,EQ,N,396.5,392.55,395.95,393.3,394.0,393.95,2553317,1007153250.45,616.0,372.4,49402,INE075A01022,2023-02-24,2023-02-23T18:30:00.000Z,2023-04-01T13:46:59.338Z,2023-04-01T13:46:59.338Z,0,,394.45,24-Feb-2023,
63f7557e4ddd6900072793f0,WIPRO,EQ,N,398.7,393.4,395.8,393.95,395.0,395.15,3039161,1202271830.75,616.0,372.4,61973,INE075A01022,2023-02-23,2023-02-22T18:30:00.000Z,2023-02-23T12:01:02.445Z,2023-02-23T12:01:02.445Z,0,,395.59,23-Feb-2023,
63f60655ae250300083de0da,WIPRO,EQ,N,400.35,394.45,399.5,395.15,394.5,402.75,3441686,1365483106.4,616.0,372.4,90378,INE075A01022,2023-02-22,2023-02-21T18:30:00.000Z,2023-02-22T12:11:01.714Z,2023-02-22T12:11:01.714Z,0,,396.75,22-Feb-2023,
63f4b27da27ddb0007e3b8ef,WIPRO,EQ,N,408.0,402.1,407.4,402.75,402.65,407.05,2880586,1163824387.5,616.0,372.4,75015,INE075A01022,2023-02-21,2023-02-20T18:30:00.000Z,2023-02-21T12:01:01.742Z,2023-02-21T12:01:01.742Z,0,,404.02,21-Feb-2023,
63f360e234198a00062fb578,WIPRO,EQ,N,407.8,402.2,405.3,407.05,407.0,406.3,3248594,1318749737.35,616.0,372.4,52559,INE075A01022,2023-02-20,2023-02-19T18:30:00.000Z,2023-02-20T12:00:34.184Z,2023-02-20T12:00:34.184Z,0,,405.94,20-Feb-2023,
642835d97ae9d00007116422,WIPRO,EQ,N,408.0,404.0,406.85,406.3,405.9,409.9,2808122,1138794386.7,616.0,372.4,48626,INE075A01022,2023-02-17,2023-02-16T18:30:00.000Z,2023-04-01T13:47:05.876Z,2023-04-01T13:47:05.876Z,0,,405.54,17-Feb-2023,
63ee1adfe9845a00077c19e2,WIPRO,EQ,N,413.25,408.55,408.8,409.9,409.0,407.4,5594681,2299611268.7,616.0,372.4,108077,INE075A01022,2023-02-16,2023-02-15T18:30:00.000Z,2023-02-16T12:00:31.894Z,2023-02-16T12:00:31.894Z,0,,411.04,16-Feb-2023,
