_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,TIMESTAMP,createdAt,updatedAt,__v,SLBMH_TOT_VAL,VWAP,mTIMESTAMP
642835d330507300074cb981,INDHOTEL,EQ,N,314.4,308.15,309.45,309.6,310.0,308.3,3867681,1203254397.8,349,180.6,36354,INE053A01029,2023-02-24,2023-02-23T18:30:00.000Z,2023-04-01T13:46:59.875Z,2023-04-01T13:46:59.875Z,0,,311.1,24-Feb-2023
63f7557e4ddd690007279610,INDHOTEL,EQ,N,309.8,300.0,301.1,308.3,308.4,299.6,4408387,1349291829.65,349,180.6,45910,INE053A01029,2023-02-23,2023-02-22T18:30:00.000Z,2023-02-23T12:01:02.916Z,2023-02-23T12:01:02.916Z,0,,306.07,23-Feb-2023
63f60656ae250300083de2f4,INDHOTEL,EQ,N,309.2,298.2,308.0,299.6,299.3,309.85,4232835,1279559658.95,349,180.6,42551,INE053A01029,2023-02-22,2023-02-21T18:30:00.000Z,2023-02-22T12:11:02.240Z,2023-02-22T12:11:02.240Z,0,,302.29,22-Feb-2023
63f4b27ea27ddb0007e3bb19,INDHOTEL,EQ,N,316.7,308.7,316.0,309.85,309.4,314.75,2178497,680035209.7,349,180.6,21221,INE053A01029,2023-02-21,2023-02-20T18:30:00.000Z,2023-02-21T12:01:02.255Z,2023-02-21T12:01:02.255Z,0,,312.16,21-Feb-2023
63f360e234198a00062fb79c,INDHOTEL,EQ,N,319.9,314.2,318.8,314.75,315.2,318.1,1122331,355155021.2,349,180.6,17969,INE053A01029,2023-02-20,2023-02-19T18:30:00.000Z,2023-02-20T12:00:34.645Z,2023-02-20T12:00:34.645Z,0,,316.44,20-Feb-2023
642835da7ae9d00007116643,INDHOTEL,EQ,N,325.0,317.05,322.0,318.1,317.9,321.95,1755117,562483907.8,349,180.6,21286,INE053A01029,2023-02-17,2023-02-16T18:30:00.000Z,2023-04-01T13:47:06.442Z,2023-04-01T13:47:06.442Z,0,,320.48,17-Feb-2023
63ee1ae0e9845a00077c1c10,INDHOTEL,EQ,N,323.4,316.05,316.6,321.95,321.95,315.05,3051073,979333269.55,349,180.6,45527,INE053A01029,2023-02-16,2023-02-15T18:30:00.000Z,2023-02-16T12:00:32.406Z,2023-02-16T12:00:32.406Z,0,,320.98,16-Feb-2023
63ecc95bf3c7a1000796190b,INDHOTEL,EQ,N,317.45,311.65,312.7,315.05,316.0,314.25,1353334,425742564.05,349,180.6,18175,INE053A01029,2023-02-15,2023-02-14T18:30:00.000Z,2023-02-15T12:00:27.896Z,2023-02-15T12:00:27.896Z,0,,314.59,15-Feb-2023
63eb77e02dd7bc0006b22e90,INDHOTEL,EQ,N,318.15,310.6,317.4,314.25,313.5,317.4,2393767,749499522.95,349,180.6,21678,INE053A01029,2023-02-14,2023-02-13T18:30:00.000Z,2023-02-14T12:00:32.700Z,2023-02-14T12:00:32.700Z,0,,313.1,14-Feb-2023
63ea26627f00b1000747333b,INDHOTEL,EQ,N,323.9,316.05,323.75,317.4,317.0,323.75,1552198,495710326.55,349,180.6,18073,INE053A01029,2023-02-13,2023-02-12T18:30:00.000Z,2023-02-13T12:00:34.951Z,2023-02-13T12:00:34.951Z,0,,319.36,13-Feb-2023
642835e7faf76300072ef1a0,INDHOTEL,EQ,N,325.0,318.05,318.75,323.75,323.0,319.65,2013698,649600604.4,349,180.6,37373,INE053A01029,2023-02-10,2023-02-09T18:30:00.000Z,2023-04-01T13:47:19.598Z,2023-04-01T13:47:19.598Z,0,,322.59,10-Feb-2023
63e4e0621df6cc0007b3d3a3,INDHOTEL,EQ,N,322.1,317.6,319.0,319.65,319.9,318.45,2454873,785520262.15,349,180.6,30160,INE053A01029,2023-02-09,2023-02-08T18:30:00.000Z,2023-02-09T12:00:34.700Z,2023-02-09T12:00:34.700Z,0,,319.98,09-Feb-2023
63e38edb77e63d0007d9b8df,INDHOTEL,EQ,N,320.0,314.0,317.45,318.45,318.2,316.45,3828635,1214753387.85,349,180.6,96080,INE053A01029,2023-02-08,2023-02-07T18:30:00.000Z,2023-02-08T12:00:27.775Z,2023-02-08T12:00:27.775Z,0,,317.28,08-Feb-2023
63e23d7e9029740006c92248,INDHOTEL,EQ,N,317.45,311.25,314.75,316.45,316.7,314.75,2319895,730894163.5,349,180.6,34040,INE053A01029,2023-02-07,2023-02-06T18:30:00.000Z,2023-02-07T12:01:02.295Z,2023-02-07T12:01:02.295Z,0,,315.05,07-Feb-2023
63e0ebfee9486e000641a70d,INDHOTEL,EQ,N,319.7,311.15,318.25,314.75,314.8,318.25,3217356,1010466719.55,349,180.6,41424,INE053A01029,2023-02-06,2023-02-05T18:30:00.000Z,2023-02-06T12:01:02.644Z,2023-02-06T12:01:02.644Z,0,,314.07,06-Feb-2023
6428332f7ae9d00007115221,INDHOTEL,EQ,N,320.4,313.7,318.0,318.25,318.0,318.0,3399231,1077189222.3,349,180.6,50867,INE053A01029,2023-02-03,2023-02-02T18:30:00.000Z,2023-04-01T13:35:43.407Z,2023-04-01T13:35:43.407Z,0,,316.89,03-Feb-2023
63dba5e049199b0007c38bbc,INDHOTEL,EQ,N,327.9,313.3,322.0,318.0,317.2,326.7,7762880,2485776520.35,349,180.6,112927,INE053A01029,2023-02-02,2023-02-01T18:30:00.000Z,2023-02-02T12:00:32.879Z,2023-02-02T12:00:32.879Z,0,,320.21,02-Feb-2023
63da545bce536a000746528a,INDHOTEL,EQ,N,330.45,310.2,318.0,326.7,325.0,301.0,29448497,9465923225.05,349,180.6,211959,INE053A01029,2023-02-01,2023-01-31T18:30:00.000Z,2023-02-01T12:00:27.350Z,2023-02-01T12:00:27.350Z,0,,321.44,01-Feb-2023
63d902e0595bb20007085989,INDHOTEL,EQ,N,305.0,290.75,292.55,301.0,301.7,291.3,12635485,3763369490.45,349,180.6,82018,INE053A01029,2023-01-31,2023-01-30T18:30:00.000Z,2023-01-31T12:00:32.434Z,2023-01-31T12:00:32.434Z,0,,297.84,31-Jan-2023
63d7b17e664d7a000678251e,INDHOTEL,EQ,N,297.3,286.1,287.95,291.3,292.0,286.45,6765564,1975075380.0,349,180.6,76208,INE053A01029,2023-01-30,2023-01-29T18:30:00.000Z,2023-01-30T12:01:02.351Z,2023-01-30T12:01:02.351Z,0,,291.93,30-Jan-2023
642821069d5f4500072ed5a2,INDHOTEL,EQ,N,293.35,280.05,292.15,286.45,287.95,291.45,2707115,775197705.6,349,180.6,38361,INE053A01029,2023-01-27,2023-01-26T18:30:00.000Z,2023-04-01T12:18:14.874Z,2023-04-01T12:18:14.874Z,0,,286.36,27-Jan-2023
63d119fe1947950006dff7b2,INDHOTEL,EQ,N,302.0,288.85,301.35,291.45,293.0,300.65,3868054,1130753161.3,349,180.6,39181,INE053A01029,2023-01-25,2023-01-24T18:30:00.000Z,2023-01-25T12:01:02.911Z,2023-01-25T12:01:02.911Z,0,,292.33,25-Jan-2023
63cfc87e1e67540007c91c1e,INDHOTEL,EQ,N,301.45,296.3,299.0,300.65,300.4,298.05,1928448,578195616.55,349,180.6,20010,INE053A01029,2023-01-24,2023-01-23T18:30:00.000Z,2023-01-24T12:01:02.292Z,2023-01-24T12:01:02.292Z,0,,299.82,24-Jan-2023
